year,month,drug_code,drug_name,deaths,provisional
2023,11,T40.2,Other opioids (natural & semi-synthetic),768,true
2023,11,T40.3,Methadone,269,true
2023,11,T40.4,Synthetic opioids excl. methadone (fentanyl),5285,true
2023,11,T40.5,Cocaine,2320,true
2023,11,T40.7,Cannabis,103,true
2023,11,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2751,true
2023,12,T40.1,Heroin,300,true
2023,12,T40.2,Other opioids (natural & semi-synthetic),770,true
2023,12,T40.3,Methadone,312,true
2023,12,T40.4,Synthetic opioids excl. methadone (fentanyl),5462,true
2023,12,T40.5,Cocaine,2375,true
2023,12,T40.7,Cannabis,125,true
2023,12,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2881,true
2024,1,T40.1,Heroin,252,true
2024,1,T40.2,Other opioids (natural & semi-synthetic),881,true
2024,1,T40.3,Methadone,312,true
2024,1,T40.4,Synthetic opioids excl. methadone (fentanyl),5268,true
2024,1,T40.5,Cocaine,2355,true
2024,1,T40.7,Cannabis,101,true
2024,1,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2964,true
2024,2,T40.1,Heroin,262,true
2024,2,T40.2,Other opioids (natural & semi-synthetic),762,true
2024,2,T40.3,Methadone,294,true
2024,2,T40.4,Synthetic opioids excl. methadone (fentanyl),4851,true
2024,2,T40.5,Cocaine,2198,true
2024,2,T40.7,Cannabis,103,true
2024,2,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2853,true
2024,3,T40.1,Heroin,233,true
2024,3,T40.2,Other opioids (natural & semi-synthetic),749,true
2024,3,T40.3,Methadone,266,true
2024,3,T40.4,Synthetic opioids excl. methadone (fentanyl),4951,true
2024,3,T40.5,Cocaine,2260,true
2024,3,T40.7,Cannabis,109,true
2024,3,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2875,true
2024,4,T40.1,Heroin,275,true
2024,4,T40.2,Other opioids (natural & semi-synthetic),753,true
2024,4,T40.3,Methadone,284,true
2024,4,T40.4,Synthetic opioids excl. methadone (fentanyl),4681,true
2024,4,T40.5,Cocaine,2159,true
2024,4,T40.7,Cannabis,111,true
2024,4,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2748,true
2024,5,T40.1,Heroin,250,true
2024,5,T40.2,Other opioids (natural & semi-synthetic),764,true
2024,5,T40.3,Methadone,268,true
2024,5,T40.4,Synthetic opioids excl. methadone (fentanyl),4570,true
2024,5,T40.5,Cocaine,2195,true
2024,5,T40.7,Cannabis,88,true
2024,5,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2797,true
2024,6,T40.1,Heroin,217,true
2024,6,T40.2,Other opioids (natural & semi-synthetic),706,true
2024,6,T40.3,Methadone,282,true
2024,6,T40.4,Synthetic opioids excl. methadone (fentanyl),4359,true
2024,6,T40.5,Cocaine,2109,true
2024,6,T40.7,Cannabis,98,true
2024,6,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2865,true
2024,7,T40.1,Heroin,230,true
2024,7,T40.2,Other opioids (natural & semi-synthetic),692,true
2024,7,T40.3,Methadone,268,true
2024,7,T40.4,Synthetic opioids excl. methadone (fentanyl),3931,true
2024,7,T40.5,Cocaine,2072,true
2024,7,T40.7,Cannabis,103,true
2024,7,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2988,true
2024,8,T40.1,Heroin,203,true
2024,8,T40.2,Other opioids (natural & semi-synthetic),689,true
2024,8,T40.3,Methadone,280,true
2024,8,T40.4,Synthetic opioids excl. methadone (fentanyl),3622,true
2024,8,T40.5,Cocaine,1850,true
2024,8,T40.7,Cannabis,98,true
2024,8,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2617,true
2024,9,T40.1,Heroin,200,true
2024,9,T40.2,Other opioids (natural & semi-synthetic),614,true
2024,9,T40.3,Methadone,268,true
2024,9,T40.4,Synthetic opioids excl. methadone (fentanyl),3102,true
2024,9,T40.5,Cocaine,1685,true
2024,9,T40.7,Cannabis,96,true
2024,9,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2338,true
2024,10,T40.1,Heroin,224,true
2024,10,T40.2,Other opioids (natural & semi-synthetic),615,true
2024,10,T40.3,Methadone,271,true
2024,10,T40.4,Synthetic opioids excl. methadone (fentanyl),3218,true
2024,10,T40.5,Cocaine,1666,true
2024,10,T40.7,Cannabis,90,true
2024,10,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2338,true
2024,11,T40.1,Heroin,224,true
2024,11,T40.2,Other opioids (natural & semi-synthetic),565,true
2024,11,T40.3,Methadone,274,true
2024,11,T40.4,Synthetic opioids excl. methadone (fentanyl),3182,true
2024,11,T40.5,Cocaine,1592,true
2024,11,T40.7,Cannabis,101,true
2024,11,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2348,true
2024,12,T40.1,Heroin,222,true
2024,12,T40.2,Other opioids (natural & semi-synthetic),646,true
2024,12,T40.3,Methadone,309,true
2024,12,T40.4,Synthetic opioids excl. methadone (fentanyl),3414,true
2024,12,T40.5,Cocaine,1698,true
2024,12,T40.7,Cannabis,100,true
2024,12,T43.6,"Psychostimulants (methamphetamine, amphetamines, MDMA)",2543,true
